"","x"
"1222","AT5G47640"
"1223","AT5G47660"
"1224","AT5G48150"
"1225","AT5G48250"
"1226","AT5G48470"
"1227","AT5G48560"
"1228","AT5G48670"
"1229","AT5G49300"
"1230","AT5G49330"
"1231","AT5G49450"
"1232","AT5G49470"
"1233","AT5G49520"
"1234","AT5G49700"
"1235","AT5G50010"
"1236","AT5G50570"
"1237","AT5G50670"
"1238","AT5G50820"
"1239","AT5G50915"
"1240","AT5G51190"
"1241","AT5G51230"
"1242","AT5G51790"
"1243","AT5G51910"
"1244","AT5G52010"
"1245","AT5G52660"
"1246","AT5G52830"
"1247","AT5G53200"
