"","gcv_value","iqr_value","woo_differentially_expressed","regulator_in_GRN"
"AT1G36280",0.00902928046663309,2.12923561046889,FALSE,FALSE
"AT1G27050",0.00904273770041534,2.09354878775363,FALSE,FALSE
"AT1G49760",0.00906937757723532,2.79668915029924,FALSE,FALSE
"AT1G20440",0.0090957228775546,2.30246289391027,TRUE,FALSE
"AT1G49500",0.0090994874277087,2.57022238398923,FALSE,FALSE
"AT2G46490",0.0091093153640379,3.01868198290879,FALSE,FALSE
"AT3G43590",0.00911334477971479,2.91124334914528,FALSE,FALSE
"AT2G21370",0.00911366337036817,2.99751155459789,TRUE,FALSE
"AT3G57150",0.00911581244264789,2.69640499205916,FALSE,FALSE
"AT1G62110",0.00914670019521341,2.54441282274366,FALSE,FALSE
"AT2G17290",0.0091469818186743,2.16556645083777,TRUE,FALSE
"AT2G18990",0.00914820570637323,2.35521305325582,FALSE,FALSE
"AT1G18470",0.00915152561356192,1.68193992900886,TRUE,FALSE
"AT1G19380",0.00915962750162842,2.19143020848894,FALSE,FALSE
"AT5G63100",0.00916964618592451,2.93169851777429,TRUE,FALSE
"AT3G57280",0.00918574752816367,3.3443846253351,FALSE,FALSE
"AT2G21500",0.00920900519134665,2.50066773810256,TRUE,FALSE
"AT5G14660",0.00922199621086345,3.31413164745996,TRUE,FALSE
"AT3G08720",0.00923563358719053,2.15575569919352,TRUE,FALSE
"AT2G43360",0.00923728776973449,3.28484878476747,TRUE,FALSE
"AT1G79080",0.00925416482425162,1.9012255436289,FALSE,FALSE
"AT2G42890",0.00925541695718864,2.6206589556205,TRUE,FALSE
"AT2G23350",0.00926444298116839,2.30619539173758,FALSE,FALSE
"AT2G22300",0.00926754724716771,1.92000655778536,FALSE,FALSE
"AT3G18820",0.0092857644241153,2.05158356368542,FALSE,FALSE
"AT5G65430",0.0092934378236103,2.47615451855535,FALSE,FALSE
"AT3G10840",0.00929773077984168,2.56518227978841,TRUE,FALSE
"AT5G40910",0.00931502567467217,1.79872183245882,TRUE,FALSE
"AT3G07880",0.00935824106787864,2.12405462633134,FALSE,FALSE
"AT1G76150",0.00936914262391932,2.7484494646636,TRUE,FALSE
"AT4G20380",0.00937859173470469,1.769279092658,TRUE,FALSE
"AT2G22790",0.00937971753972781,1.83489754315115,TRUE,FALSE
"AT3G63500",0.0093814166279694,2.26486938073565,FALSE,FALSE
"AT3G55430",0.00940346061473064,2.0687290089266,TRUE,FALSE
"AT4G32060",0.00944203236116633,1.90652066499155,TRUE,FALSE
"AT5G40780",0.00944752237869998,2.73573203161293,TRUE,FALSE
"AT1G22950",0.00945673555419534,1.84727167692406,FALSE,FALSE
"AT3G61980",0.0094669873095793,2.11566839048343,TRUE,FALSE
"AT4G09980",0.00947447540759788,2.52818334246187,FALSE,FALSE
"AT5G20040",0.00949091710126581,3.20088653418609,FALSE,FALSE
"AT3G07780",0.00949302968570749,1.64368568641609,TRUE,FALSE
"AT3G46110",0.00949858973733831,1.94412255207747,FALSE,FALSE
"AT1G65030",0.00950001204316591,3.37724663218541,FALSE,FALSE
"AT1G27290",0.00951189047339903,2.22330089809765,FALSE,FALSE
"AT3G54900",0.00951337401691029,3.42713009409971,TRUE,FALSE
"AT3G27180",0.00951430361919062,2.80173093816294,FALSE,FALSE
"AT5G28540",0.00952387508090845,2.33401445595663,FALSE,FALSE
"AT3G29200",0.00953107700574872,2.20912001662916,FALSE,FALSE
"AT1G20370",0.00953967183834407,2.15222670204682,FALSE,FALSE
"AT3G63130",0.00956041502375562,2.55886334595285,FALSE,FALSE
"AT5G42130",0.00957557831795455,2.46864531791888,TRUE,FALSE
"AT3G49080",0.0095808243821878,2.48963018939675,FALSE,FALSE
"AT4G11300",0.00958966544185718,2.28368397035229,FALSE,FALSE
"AT4G28200",0.00959098340229192,2.63571890438923,FALSE,FALSE
"AT5G49220",0.00959501646545692,1.70640582449884,FALSE,FALSE
"AT1G57610",0.00959755667232491,2.11618144582839,FALSE,FALSE
"AT1G26761",0.00960728488370329,3.09485675691736,TRUE,FALSE
"AT3G15290",0.00960816426099993,2.38754079166403,FALSE,FALSE
"AT5G45600",0.00961559900344527,2.91163918800154,FALSE,FALSE
"AT3G56190",0.00963109677129037,3.86374699974158,FALSE,FALSE
"AT4G27020",0.00963661745330425,3.13152070836763,TRUE,FALSE
"AT1G22280",0.00964629702635197,2.11440960221365,TRUE,FALSE
"AT1G69850",0.00965904550550259,2.48032436216067,FALSE,FALSE
"AT3G04930",0.00967764323427231,2.01447385462629,FALSE,FALSE
"AT4G30580",0.00968256835601651,3.55359031835746,FALSE,FALSE
"AT3G49170",0.00969056307101701,3.15901108344035,FALSE,FALSE
"AT5G59420",0.00972828328285666,2.46644090069119,TRUE,FALSE
"AT2G21090",0.0097363605952099,3.25358325019717,FALSE,FALSE
"AT3G02910",0.00974628241639057,3.46668419174047,TRUE,FALSE
"AT4G33910",0.00975104411169783,2.01483936362059,FALSE,FALSE
"AT3G04550",0.00975759945174109,2.54205383395592,TRUE,FALSE
"AT5G10390",0.00975803875219951,2.67267404859118,TRUE,FALSE
"AT5G52420",0.00976116897008506,1.79627835533211,FALSE,FALSE
"AT3G20050",0.00977099625708061,2.89026683984057,FALSE,FALSE
"AT4G12070",0.00978849651917046,2.82390789318664,FALSE,FALSE
"AT3G08710",0.00978893576046851,2.16855324381551,TRUE,FALSE
"AT3G05580",0.00980557928849934,1.84395139356208,FALSE,FALSE
"AT4G20960",0.0098065548621714,2.8616219383331,FALSE,FALSE
"AT5G02290",0.00980728425457705,1.66589208118343,FALSE,FALSE
"AT5G62865",0.00980863408343493,2.26627428927718,TRUE,FALSE
"AT1G50900",0.00981214387738609,2.12715026105974,TRUE,FALSE
"AT3G02460",0.00981965033704512,2.01449205726082,FALSE,FALSE
"AT1G79245",0.00983785878193543,1.93708512243994,FALSE,FALSE
"AT4G30890",0.00984439153145825,2.44074941600496,FALSE,FALSE
"AT1G07128",0.00984840819578221,2.21415195807122,FALSE,FALSE
"AT1G15010",0.00987347718263866,2.6328099327112,TRUE,FALSE
"AT2G17972",0.00988978229823282,2.29603187949039,TRUE,FALSE
"AT4G39400",0.00989182745419593,2.4325368363154,TRUE,FALSE
"AT3G62220",0.0098926344479221,2.21456098649813,FALSE,FALSE
"AT5G38210",0.00991688936230866,2.19965020228773,FALSE,FALSE
"AT2G12400",0.00992805960305101,1.89288292538583,FALSE,FALSE
"AT1G05500",0.00993149923748462,3.11390058239903,FALSE,FALSE
"AT5G54910",0.00993743883046327,2.95712172345245,FALSE,FALSE
"AT5G58720",0.00993860806145102,2.01967208925772,FALSE,FALSE
"AT1G33770",0.00994288724082762,2.23262593370769,TRUE,FALSE
"AT3G05200",0.00994555018290606,2.05650446419885,FALSE,FALSE
"AT1G59580",0.00995058491790031,3.48047985779032,FALSE,FALSE
"AT3G04770",0.00999088636573396,3.30520693483095,FALSE,FALSE
"AT4G34390",0.0099915877412807,1.74640411842137,TRUE,FALSE
"AT3G07560",0.00999711942171757,1.89901004551136,FALSE,FALSE
"AT3G45040",0.0100176498785643,1.86158097082163,TRUE,FALSE
"AT1G71500",0.0100193561939103,3.97094548496542,TRUE,FALSE
"AT3G56800",0.0100456020600649,2.46388908112252,TRUE,FALSE
"AT5G59500",0.0100483910215928,2.72000954815064,FALSE,FALSE
"AT5G50430",0.0100561988391177,1.93071841257635,FALSE,FALSE
"AT1G68690",0.0100677160865926,2.4022210634715,TRUE,FALSE
"AT2G41310",0.0100718489302126,1.77233737266974,TRUE,FALSE
"AT1G30755",0.010076044859865,2.7574654687696,TRUE,FALSE
"AT2G11520",0.0100860094329983,2.24412507639736,FALSE,FALSE
"AT4G10620",0.010096492453281,2.97779605093819,FALSE,FALSE
"AT4G13650",0.0100986806908464,2.18380337483491,FALSE,FALSE
"AT5G61000",0.0101082241331082,2.87429164736799,FALSE,FALSE
"AT4G03090",0.0101157980029956,2.96990728597595,FALSE,FALSE
"AT4G01037",0.0101200068655676,2.28158276396085,FALSE,FALSE
"AT4G05400",0.01012801855576,2.16695677760485,FALSE,FALSE
"AT3G09830",0.0101303442371753,2.11071998883744,TRUE,FALSE
"AT3G48780",0.0101312066835346,2.16474510651487,TRUE,FALSE
"AT1G49300",0.0101318533026199,2.65323555550045,FALSE,FALSE
"AT2G40420",0.0101398925992231,2.79376907101284,FALSE,FALSE
"AT1G02150",0.01014580616048,2.57307252154398,TRUE,FALSE
"AT1G13210",0.0101700794160271,2.34612135972532,FALSE,FALSE
"AT1G28240",0.0101882861983722,2.0724921345415,FALSE,FALSE
"AT2G17800",0.0101983566175243,2.28720856167368,FALSE,FALSE
"AT2G47990",0.0101989671172908,2.86957612839235,TRUE,FALSE
"AT5G06810",0.0102060050376666,2.72911471222667,FALSE,FALSE
"AT2G30720",0.0102170859650671,2.14865868824881,FALSE,FALSE
"AT5G67280",0.0102186550444733,1.77592224589679,TRUE,FALSE
"AT5G44070",0.0102208872632684,2.25401245063711,FALSE,FALSE
"AT5G28740",0.0102372244990079,2.96812046544808,FALSE,FALSE
"AT4G02400",0.0102406467639542,3.04102034313069,FALSE,FALSE
"AT1G11430",0.0102426411465204,2.54577732747594,FALSE,FALSE
"AT4G17600",0.0102476581786318,2.89544773575645,TRUE,FALSE
"AT1G19270",0.0102490208997902,2.87058345102558,TRUE,FALSE
"AT4G21560",0.0102513778476351,1.71783506326414,TRUE,FALSE
"AT3G25680",0.0102563444409173,3.2661207778915,FALSE,FALSE
"AT4G02790",0.0102576560976647,3.0412301627041,TRUE,FALSE
"AT2G25830",0.0102638709227534,2.71322448802472,TRUE,FALSE
"AT4G28310",0.0102755519364966,2.7815057918033,FALSE,FALSE
"AT1G06550",0.0102818387594223,2.44326927488633,FALSE,FALSE
"AT3G59060",0.0102859537159103,2.03755307423673,TRUE,FALSE
"AT5G60430",0.0102915912618967,1.94560016468523,FALSE,FALSE
"AT2G07180",0.0102975780335903,2.64271807105707,TRUE,FALSE
"AT1G36390",0.0102977998830941,3.00346299524278,TRUE,FALSE
"AT5G61770",0.0103018336814243,2.68817678265012,TRUE,FALSE
"AT5G57870",0.0103165943717094,2.79477535113208,FALSE,FALSE
"AT1G54690",0.0103335366521178,3.24504760080758,FALSE,FALSE
"AT4G17740",0.0103428935030603,2.23468067775925,FALSE,FALSE
"AT4G35985",0.0103527908613796,2.76802126771671,FALSE,FALSE
"AT5G17060",0.0103603994475085,2.26732491192376,TRUE,FALSE
"AT1G33390",0.0103620600154973,2.48299028095261,FALSE,FALSE
"AT4G36360",0.0103635240247744,2.51687594074268,TRUE,FALSE
"AT4G21770",0.0103806515989783,2.45595254004488,TRUE,FALSE
"AT1G08315",0.0103854129810293,1.71966164519731,TRUE,FALSE
"AT5G13160",0.0103913863823367,1.8388672675013,FALSE,FALSE
"AT1G80420",0.0104013738001289,2.2299822765857,TRUE,FALSE
"AT3G60500",0.010403381508777,2.5664630597944,FALSE,FALSE
"AT3G16250",0.0104124526658891,2.15078404972177,TRUE,FALSE
"AT4G17870",0.0104129037131496,3.46698198878185,FALSE,FALSE
"AT5G11730",0.010416770974336,2.59666093220571,FALSE,FALSE
"AT5G39210",0.0104306734242813,2.56928235667488,TRUE,FALSE
"AT1G55160",0.0104435323739393,3.13827448613088,TRUE,FALSE
"AT1G22510",0.0104661032312998,1.69787066739045,FALSE,FALSE
"AT1G12550",0.0104685573976835,2.04592865984525,TRUE,FALSE
"AT5G20600",0.0104889618396875,2.95133538185081,FALSE,FALSE
"AT1G31180",0.0104905688661148,2.96079630480425,FALSE,FALSE
"AT1G10580",0.0104905996052929,2.53809733377572,FALSE,FALSE
"AT5G62570",0.0104966968325751,1.59724664855422,FALSE,FALSE
"AT3G25410",0.0105051411749092,2.75656930074699,FALSE,FALSE
"AT5G66470",0.010507579554521,2.37651643025882,TRUE,FALSE
"AT3G15710",0.010510832850924,2.20214357643995,FALSE,FALSE
"AT1G79380",0.0105133434928843,1.79747772506499,FALSE,FALSE
"AT2G26840",0.0105209279335028,2.70754461550214,FALSE,FALSE
"AT3G10800",0.0105259689066322,1.78248527024522,TRUE,TRUE
"AT2G34780",0.0105272554929404,2.08747696080423,FALSE,FALSE
"AT2G43430",0.0105351631751929,1.59058682391582,FALSE,FALSE
"AT3G54100",0.0105391638960929,1.94278288099335,FALSE,FALSE
"AT5G11480",0.0105430958656302,2.94608181480678,TRUE,FALSE
"AT3G49350",0.0105540994297963,1.92222012904941,FALSE,FALSE
"AT1G09830",0.010554576183586,2.62169725182939,FALSE,FALSE
"AT5G60990",0.0105566688417177,2.6603957997472,FALSE,FALSE
"AT3G03020",0.0105581811627671,1.83911526551568,TRUE,FALSE
"AT1G75440",0.0105600032040284,2.14364732842816,FALSE,FALSE
"AT2G02980",0.0105614165431144,2.23971496455427,FALSE,FALSE
"AT3G56990",0.0105654543700905,2.7508560071385,FALSE,FALSE
