,gene_name,combined_name_id
AT1G05562,AT1G05562,AT1G05562 (AT1G05562)
AT1G05570,CALS1,CALS1 (AT1G05570)
AT1G05575,AT1G05575,AT1G05575 (AT1G05575)
AT1G05590,HEXO2,HEXO2 (AT1G05590)
AT1G05600,EMB3101,EMB3101 (AT1G05600)
AT1G05610,APS2,APS2 (AT1G05610)
AT1G05620,URH2,URH2 (AT1G05620)
AT1G05630,5PTASE13,5PTASE13 (AT1G05630)
AT1G05640,AT1G05640,AT1G05640 (AT1G05640)
AT1G05670,AT1G05670,AT1G05670 (AT1G05670)
AT1G05675,AT1G05675,AT1G05675 (AT1G05675)
AT1G05680,UGT74E2,UGT74E2 (AT1G05680)
AT1G05690,BT3,BT3 (AT1G05690)
AT1G05710,AT1G05710,AT1G05710 (AT1G05710)
AT1G05720,AT1G05720,AT1G05720 (AT1G05720)
AT1G05730,AT1G05730,AT1G05730 (AT1G05730)
AT1G05740,AT1G05740,AT1G05740 (AT1G05740)
AT1G05750,PDE247,PDE247 (AT1G05750)
AT1G05760,RTM1,RTM1 (AT1G05760)
AT1G05770,AT1G05770,AT1G05770 (AT1G05770)
AT1G05780,AT1G05780,AT1G05780 (AT1G05780)
AT1G05785,AT1G05785,AT1G05785 (AT1G05785)
AT1G05790,AT1G05790,AT1G05790 (AT1G05790)
AT1G05805,AT1G05805,AT1G05805 (AT1G05805)
AT1G05810,RABA5E,RABA5E (AT1G05810)
AT1G05820,SPPL5,SPPL5 (AT1G05820)
AT1G05830,ATX2,ATX2 (AT1G05830)
AT1G05835,AT1G05835,AT1G05835 (AT1G05835)
AT1G05840,AT1G05840,AT1G05840 (AT1G05840)
AT1G05850,POM1,POM1 (AT1G05850)
AT1G05860,AT1G05860,AT1G05860 (AT1G05860)
AT1G05870,AT1G05870,AT1G05870 (AT1G05870)
AT1G05890,ARI5,ARI5 (AT1G05890)
AT1G05894,AT1G05894,AT1G05894 (AT1G05894)
AT1G05900,NTH2,NTH2 (AT1G05900)
AT1G05910,AT1G05910,AT1G05910 (AT1G05910)
AT1G05940,CAT9,CAT9 (AT1G05940)
AT1G05950,AT1G05950,AT1G05950 (AT1G05950)
AT1G05960,AT1G05960,AT1G05960 (AT1G05960)
AT1G05970,AT1G05970,AT1G05970 (AT1G05970)
AT1G06000,AT1G06000,AT1G06000 (AT1G06000)
AT1G06002,AT1G06002,AT1G06002 (AT1G06002)
AT1G06010,AT1G06010,AT1G06010 (AT1G06010)
AT1G06040,STO,STO (AT1G06040)
AT1G06050,AT1G06050,AT1G06050 (AT1G06050)
AT1G06060,AT1G06060,AT1G06060 (AT1G06060)
AT1G06070,AT1G06070,AT1G06070 (AT1G06070)
AT1G06080,ADS1,ADS1 (AT1G06080)
AT1G06090,AT1G06090,AT1G06090 (AT1G06090)
AT1G06110,SKIP16,SKIP16 (AT1G06110)
AT1G06130,GLX2-4,GLX2-4 (AT1G06130)
AT1G06140,MEF3,MEF3 (AT1G06140)
AT1G06150,EMB1444,EMB1444 (AT1G06150)
AT1G06160,ORA59,ORA59 (AT1G06160)
AT1G06180,MYB13,MYB13 (AT1G06180)
AT1G06190,RHON1,RHON1 (AT1G06190)
AT1G06200,AT1G06200,AT1G06200 (AT1G06200)
AT1G06210,AT1G06210,AT1G06210 (AT1G06210)
AT1G06220,MEE5,MEE5 (AT1G06220)
AT1G06230,GTE4,GTE4 (AT1G06230)
AT1G06240,AT1G06240,AT1G06240 (AT1G06240)
AT1G06265,AT1G06265,AT1G06265 (AT1G06265)
AT1G06270,AT1G06270,AT1G06270 (AT1G06270)
AT1G06290,ACX3,ACX3 (AT1G06290)
AT1G06360,AT1G06360,AT1G06360 (AT1G06360)
AT1G06370,AT1G06370,AT1G06370
AT1G06380,AT1G06380,AT1G06380 (AT1G06380)
AT1G06390,GSK1,GSK1 (AT1G06390)
AT1G06400,ARA-2,ARA-2 (AT1G06400)
AT1G06410,TPS7,TPS7 (AT1G06410)
AT1G06420,AT1G06420,AT1G06420 (AT1G06420)
AT1G06430,FTSH8,FTSH8 (AT1G06430)
AT1G06440,AT1G06440,AT1G06440 (AT1G06440)
AT1G06450,AT1G06450,AT1G06450 (AT1G06450)
AT1G06460,ACD32.1,ACD32.1 (AT1G06460)
AT1G06470,AT1G06470,AT1G06470 (AT1G06470)
AT1G06475,AT1G06475,AT1G06475 (AT1G06475)
AT1G06490,CalS7,CalS7 (AT1G06490)
AT1G06500,AT1G06500,AT1G06500 (AT1G06500)
AT1G06510,AT1G06510,AT1G06510 (AT1G06510)
AT1G06515,AT1G06515,AT1G06515 (AT1G06515)
AT1G06520,GPAT1,GPAT1 (AT1G06520)
AT1G06530,PMD2,PMD2 (AT1G06530)
AT1G06540,AT1G06540,AT1G06540 (AT1G06540)
AT1G06550,AT1G06550,AT1G06550 (AT1G06550)
AT1G06560,AT1G06560,AT1G06560 (AT1G06560)
AT1G06570,PDS1,PDS1 (AT1G06570)
AT1G06580,AT1G06580,AT1G06580 (AT1G06580)
AT1G06590,AT1G06590,AT1G06590 (AT1G06590)
AT1G06620,AT1G06620,AT1G06620 (AT1G06620)
AT1G06630,AT1G06630,AT1G06630 (AT1G06630)
AT1G06640,AT1G06640,AT1G06640 (AT1G06640)
AT1G06645,AT1G06645,AT1G06645 (AT1G06645)
AT1G06650,AT1G06650,AT1G06650 (AT1G06650)
AT1G06660,JASON,JASON (AT1G06660)
AT1G06670,NIH,NIH (AT1G06670)
AT1G06680,PSBP-1,PSBP-1 (AT1G06680)
AT1G06690,AT1G06690,AT1G06690 (AT1G06690)
AT1G06700,AT1G06700,AT1G06700 (AT1G06700)
AT1G06710,AT1G06710,AT1G06710 (AT1G06710)
AT1G06720,AT1G06720,AT1G06720 (AT1G06720)
AT1G06730,AT1G06730,AT1G06730 (AT1G06730)
AT1G06740,MUG3,MUG3 (AT1G06740)
AT1G06760,AT1G06760,AT1G06760 (AT1G06760)
AT1G06770,DRIP1,DRIP1 (AT1G06770)
AT1G06780,GAUT6,GAUT6 (AT1G06780)
AT1G06790,AT1G06790,AT1G06790 (AT1G06790)
AT1G06800,PLA-I{gamma}1,PLA-I{gamma}1 (AT1G06800)
AT1G06820,CRTISO,CRTISO (AT1G06820)
AT1G06830,AT1G06830,AT1G06830 (AT1G06830)
